Date,Open,High,Low,Close,Adj Close,Volume
2022-04-05,928.000000,940.700012,924.150024,929.099976,929.099976,2911697
2022-04-06,927.799988,938.799988,925.000000,928.099976,928.099976,1881754
2022-04-07,928.099976,948.000000,926.849976,930.950012,930.950012,2728625
2022-04-08,937.000000,937.299988,919.299988,924.599976,924.599976,1453271
2022-04-11,920.000000,933.549988,918.599976,925.400024,925.400024,1102625
2022-04-12,920.000000,928.150024,911.400024,921.299988,921.299988,1420380
2022-04-13,921.299988,943.000000,921.299988,936.750000,936.750000,1825531
2022-04-18,927.599976,941.049988,919.250000,927.500000,927.500000,1287320
2022-04-19,930.950012,937.750000,915.049988,922.000000,922.000000,2001066
2022-04-20,918.000000,931.000000,916.049988,923.500000,923.500000,1455897
2022-04-21,931.000000,946.000000,920.599976,944.099976,944.099976,2410164
2022-04-22,941.000000,942.250000,918.349976,924.799988,924.799988,1745381
2022-04-25,915.549988,922.349976,896.599976,900.000000,900.000000,1146270
2022-04-26,905.000000,924.750000,904.049988,918.049988,918.049988,3142879
2022-04-27,910.049988,921.700012,903.599976,906.099976,906.099976,1586283
2022-04-28,920.000000,927.349976,909.299988,921.000000,921.000000,3150038
2022-04-29,924.000000,967.049988,919.549988,928.650024,928.650024,4290688
2022-05-02,922.450012,925.000000,902.549988,923.400024,923.400024,2119174
2022-05-04,920.099976,920.900024,895.000000,900.900024,900.900024,3925917
2022-05-05,905.000000,919.200012,872.599976,878.150024,878.150024,4462293
2022-05-06,862.000000,885.700012,861.500000,883.299988,883.299988,2350532
2022-05-09,868.049988,891.400024,868.049988,885.400024,885.400024,2522123
2022-05-10,885.000000,890.849976,846.500000,861.849976,861.849976,6975331
2022-05-11,853.000000,867.000000,851.000000,854.799988,854.799988,2768829
2022-05-12,852.900024,855.849976,835.200012,850.000000,850.000000,2700591
2022-05-13,862.950012,889.000000,860.150024,882.500000,882.500000,4870042
